Africa,Antartica,Asia,Europe,North America,Oceania,South America,Unknown,year
0,0,0,1,0,0,0,0,1781
0,0,0,1,0,0,0,0,1782
0,0,0,1,0,0,0,0,1783
0,0,0,1,0,0,0,0,1784
0,0,0,1,0,0,0,0,1785
0,0,0,1,0,0,0,0,1786
0,0,0,1,0,0,0,0,1787
0,0,0,1,0,0,0,0,1788
0,0,0,1,0,0,0,0,1789
0,0,0,1,0,0,0,0,1790
0,0,0,1,0,0,0,0,1791
0,0,0,1,0,0,0,0,1792
0,0,0,1,0,0,0,0,1793
0,0,0,1,0,0,0,0,1794
0,0,0,1,0,0,0,0,1795
0,0,0,1,0,0,0,0,1796
0,0,0,2,0,0,0,0,1797
0,0,0,2,0,0,0,0,1798
0,0,0,2,0,0,0,0,1799
0,0,0,2,0,0,0,0,1800
0,0,0,2,0,0,0,0,1801
0,0,0,2,0,0,0,0,1802
0,0,0,2,0,0,0,0,1803
0,0,0,3,0,0,0,0,1804
0,0,0,3,0,0,0,0,1805
0,0,0,3,0,0,0,0,1806
0,0,0,3,0,0,0,0,1807
0,0,0,3,0,0,0,0,1808
0,0,0,3,0,0,0,0,1809
0,0,0,3,0,0,0,0,1810
0,0,0,3,0,0,0,0,1811
0,0,0,3,0,0,0,0,1812
0,0,0,4,0,0,0,0,1813
0,0,0,4,0,0,0,0,1814
0,0,0,4,0,0,0,0,1815
0,0,0,4,0,0,0,0,1816
0,0,0,4,0,0,0,0,1817
0,0,0,4,0,0,0,0,1818
0,0,0,4,0,0,0,0,1819
0,0,0,4,0,0,0,0,1820
0,0,0,4,0,0,0,0,1821
0,0,0,4,0,0,0,0,1822
0,0,0,4,0,0,0,0,1823
0,0,0,4,0,0,0,0,1824
0,0,0,4,0,0,0,0,1825
0,0,0,5,0,0,0,0,1826
0,0,0,6,0,0,0,0,1827
0,0,0,6,0,0,0,0,1828
0,0,0,6,0,0,0,0,1829
0,0,0,6,0,0,0,0,1830
0,0,0,6,0,0,0,0,1831
0,0,0,6,0,1,0,0,1832
0,0,0,7,0,1,0,0,1833
0,0,0,7,0,1,0,0,1834
0,0,0,7,0,1,0,0,1835
0,0,0,7,1,1,0,0,1836
0,0,0,7,1,2,0,0,1837
0,0,0,8,1,2,0,0,1838
0,0,0,8,1,3,0,0,1839
0,0,0,9,3,3,0,0,1840
0,0,0,9,3,5,0,0,1841
0,0,0,9,3,6,0,0,1842
0,0,0,9,3,7,0,0,1843
0,0,0,9,3,7,0,0,1844
0,0,0,9,4,8,0,0,1845
0,0,0,10,5,8,0,0,1846
0,0,0,10,5,8,0,0,1847
0,0,0,10,5,8,0,0,1848
0,0,0,10,8,8,0,0,1849
1,0,0,11,9,8,0,0,1850
1,0,0,11,9,8,0,0,1851
2,0,0,11,14,9,0,0,1852
2,0,0,11,14,9,0,0,1853
2,0,0,11,14,9,0,0,1854
2,0,0,11,13,10,0,0,1855
2,0,0,11,15,13,0,0,1856
3,0,0,12,17,15,0,0,1857
3,0,0,13,18,22,0,0,1858
3,0,0,13,18,23,0,0,1859
3,0,0,16,19,25,0,0,1860
3,0,0,17,19,31,0,0,1861
3,0,0,17,19,34,0,0,1862
3,0,0,18,20,39,0,0,1863
3,0,0,18,20,45,0,0,1864
3,0,0,19,22,52,0,0,1865
3,0,0,20,31,57,0,0,1866
3,0,0,22,35,67,0,0,1867
3,0,0,24,37,82,0,0,1868
4,0,0,24,43,89,0,0,1869
4,0,0,26,59,120,0,0,1870
5,0,0,28,95,141,0,0,1871
5,0,0,29,125,172,0,0,1872
