Africa,Antartica,Asia,Europe,North America,Oceania,South America,Unknown,year
0,0,0,0,1,0,0,0,1840
0,0,0,0,1,0,0,0,1841
0,0,0,0,1,0,0,0,1842
0,0,0,0,1,0,0,0,1843
0,0,0,0,1,0,0,0,1844
0,0,0,0,1,0,0,0,1845
0,0,0,0,2,0,0,0,1846
0,0,0,0,2,0,0,0,1847
0,0,0,0,2,0,0,0,1848
0,0,0,0,2,0,0,0,1849
0,0,0,0,2,0,0,0,1850
0,0,0,0,2,0,0,0,1851
0,0,0,0,2,0,0,0,1852
0,0,0,0,2,0,0,0,1853
0,0,0,0,2,0,0,0,1854
0,0,0,0,2,0,0,0,1855
0,0,0,0,3,0,0,0,1856
0,0,0,0,7,0,0,0,1857
0,0,0,0,9,0,0,0,1858
0,0,0,0,10,0,0,0,1859
0,0,0,0,11,0,0,0,1860
0,0,0,0,11,0,0,0,1861
0,0,0,0,13,0,0,0,1862
0,0,0,0,12,0,0,0,1863
0,0,0,0,12,0,0,0,1864
0,0,0,0,14,0,0,0,1865
0,0,0,0,21,0,0,0,1866
0,0,0,0,24,0,0,0,1867
0,0,0,0,27,0,0,0,1868
0,0,0,0,30,0,0,0,1869
0,0,0,0,46,0,0,0,1870
0,0,0,0,73,0,0,0,1871
0,0,0,0,98,0,0,0,1872
0,0,0,0,104,0,0,0,1873
0,0,0,0,118,0,0,0,1874
0,0,0,0,127,0,0,0,1875
0,0,0,0,134,0,0,0,1876
0,0,0,0,144,0,0,0,1877
0,0,0,0,155,0,0,0,1878
0,0,0,0,165,0,0,0,1879
0,0,0,0,177,0,0,0,1880
0,0,0,0,188,0,0,0,1881
0,0,0,0,218,0,0,0,1882
0,0,0,0,266,0,0,0,1883
0,0,0,0,285,0,0,0,1884
0,0,0,0,320,0,0,0,1885
0,0,0,0,349,0,0,0,1886
0,0,0,0,366,0,0,0,1887
0,0,0,0,403,0,0,0,1888
0,0,0,0,433,0,0,0,1889
0,0,0,0,485,0,0,0,1890
0,0,0,0,566,0,0,0,1891
0,0,0,0,738,0,0,0,1892
0,0,0,0,2084,0,0,0,1893
0,0,0,0,2385,0,0,0,1894
0,0,0,0,2652,0,0,0,1895
0,0,0,0,2882,0,0,0,1896
0,0,0,0,3066,0,0,0,1897
0,0,0,0,3157,0,0,0,1898
0,0,0,0,3336,0,0,0,1899
0,0,0,0,3448,0,0,0,1900
