Africa,Antartica,Asia,Europe,North America,Oceania,South America,Unknown,year
0,0,0,0,1,0,0,0,1857
0,0,0,0,1,0,0,0,1858
0,0,0,0,1,0,0,0,1859
0,0,0,0,1,0,0,0,1860
0,0,0,0,1,0,0,0,1861
0,0,0,0,1,0,0,0,1862
0,0,0,1,1,0,0,0,1863
0,0,0,1,1,0,0,0,1864
0,0,0,1,1,0,0,0,1865
0,0,0,1,1,0,0,0,1866
0,0,0,1,1,0,0,0,1867
0,0,0,1,1,0,0,0,1868
0,0,0,1,1,0,0,0,1869
0,0,0,2,2,0,0,0,1870
0,0,0,2,3,0,0,0,1871
0,0,0,2,4,0,0,0,1872
0,0,0,2,8,0,0,0,1873
0,0,0,2,8,0,0,0,1874
0,0,0,2,9,0,0,0,1875
0,0,0,3,9,0,0,0,1876
0,0,0,3,13,0,0,0,1877
0,0,0,3,15,0,0,0,1878
0,0,0,4,17,0,0,0,1879
0,0,0,4,22,0,0,0,1880
0,0,0,5,23,0,0,0,1881
0,0,0,8,25,0,0,0,1882
0,0,0,8,29,0,0,0,1883
0,0,0,8,36,0,0,0,1884
0,0,0,9,53,0,0,0,1885
0,0,0,9,66,0,0,0,1886
0,0,0,14,70,0,0,0,1887
0,0,0,14,87,0,0,0,1888
0,0,0,14,106,0,0,0,1889
0,0,0,18,125,0,0,0,1890
0,0,0,22,136,0,0,0,1891
0,0,0,23,189,0,0,0,1892
0,0,0,24,401,0,0,0,1893
0,0,0,26,473,0,0,0,1894
0,0,0,50,680,0,0,0,1895
0,0,0,54,936,0,0,0,1896
0,0,0,54,1182,0,0,0,1897
0,0,0,56,1416,0,0,0,1898
0,0,0,60,1734,0,0,0,1899
0,0,0,64,2052,0,0,0,1900
0,0,0,71,2378,0,0,0,1901
0,0,0,74,2528,0,0,0,1902
0,0,0,75,2673,0,0,0,1903
0,0,0,75,2845,0,0,0,1904
0,0,0,76,3039,0,0,0,1905
0,0,0,77,3173,0,0,0,1906
0,0,0,80,3261,0,0,0,1907
0,0,0,81,3378,0,0,0,1908
0,0,0,81,3718,0,0,0,1909
0,0,0,82,3869,0,0,0,1910
0,0,0,82,4011,0,0,0,1911
0,0,0,83,4099,0,0,0,1912
0,0,0,83,4192,1,0,0,1913
0,0,0,83,4319,1,0,0,1914
0,0,0,84,4441,1,0,0,1915
0,0,0,85,4540,1,0,0,1916
0,0,0,86,4621,1,0,0,1917
0,0,0,86,4659,1,0,0,1918
0,0,0,87,4689,1,0,0,1919
0,0,0,87,4728,1,0,0,1920
0,0,0,89,4762,1,0,0,1921
0,0,0,90,4846,1,0,0,1922
0,0,0,90,4930,1,0,0,1923
0,0,0,90,4994,1,0,0,1924
0,0,0,92,5055,1,0,0,1925
0,0,0,93,5149,1,0,0,1926
0,0,0,93,5220,1,0,0,1927
0,0,0,95,5267,1,0,0,1928
0,0,0,95,5324,1,0,0,1929
0,0,0,95,5427,1,0,0,1930
0,0,0,105,5497,1,0,0,1931
