Africa,Antartica,Asia,Europe,North America,Oceania,South America,Unknown,year
0,0,0,1,0,0,0,0,1763
0,0,0,1,0,0,0,0,1764
0,0,0,1,0,0,0,0,1765
0,0,0,1,0,0,0,0,1766
0,0,0,1,0,0,0,0,1767
0,0,0,1,0,0,0,0,1768
0,0,0,1,0,0,0,0,1769
0,0,0,1,0,0,0,0,1770
0,0,0,1,0,0,0,0,1771
0,0,0,1,0,0,0,0,1772
0,0,0,1,0,0,0,0,1773
0,0,0,1,0,0,0,0,1774
0,0,0,2,0,0,0,0,1775
0,0,0,2,0,0,0,0,1776
0,0,0,2,0,0,0,0,1777
0,0,0,2,0,0,0,0,1778
0,0,0,2,0,0,0,0,1779
0,0,0,2,0,0,0,0,1780
0,0,0,2,0,0,0,0,1781
0,0,0,2,0,0,0,0,1782
0,0,0,2,0,0,0,0,1783
0,0,0,2,0,0,0,0,1784
0,0,0,2,0,0,0,0,1785
0,0,0,2,0,0,0,0,1786
0,0,0,2,0,0,0,0,1787
0,0,0,2,0,0,0,0,1788
0,0,0,2,0,0,0,0,1789
0,0,0,2,0,0,0,0,1790
0,0,0,2,0,0,0,0,1791
0,0,0,2,0,0,0,0,1792
0,0,0,2,0,0,0,0,1793
0,0,0,2,0,0,0,0,1794
0,0,0,2,0,0,0,0,1795
0,0,0,2,0,0,0,0,1796
0,0,0,2,0,0,0,0,1797
0,0,0,2,0,0,0,0,1798
0,0,0,2,0,0,0,0,1799
0,0,0,2,0,0,0,0,1800
0,0,0,2,0,0,0,0,1801
0,0,0,2,0,0,0,0,1802
0,0,0,2,0,0,0,0,1803
0,0,0,2,0,0,0,0,1804
0,0,0,2,0,0,0,0,1805
0,0,0,2,0,0,0,0,1806
0,0,0,2,0,0,0,0,1807
0,0,0,2,0,0,0,0,1808
0,0,0,2,0,0,0,0,1809
0,0,0,2,0,0,0,0,1810
0,0,0,2,0,0,0,0,1811
0,0,0,2,0,0,0,0,1812
0,0,0,2,0,0,0,0,1813
0,0,0,4,0,0,0,0,1814
0,0,0,4,0,0,0,0,1815
0,0,0,4,0,0,0,0,1816
0,0,0,4,0,0,0,0,1817
0,0,0,4,0,0,0,0,1818
0,0,0,4,0,0,0,0,1819
0,0,0,4,0,0,0,0,1820
0,0,0,4,0,0,0,0,1821
0,0,0,4,0,0,0,0,1822
0,0,0,4,0,0,0,0,1823
0,0,0,5,0,0,0,0,1824
0,0,0,5,0,0,0,0,1825
0,0,0,5,0,0,0,0,1826
0,0,0,5,0,0,0,0,1827
0,0,0,5,0,0,0,0,1828
0,0,0,5,0,0,0,0,1829
0,0,0,5,0,0,0,0,1830
0,0,0,5,0,0,0,0,1831
0,0,0,5,0,0,0,0,1832
0,0,0,6,0,0,0,0,1833
0,0,0,6,0,0,0,0,1834
0,0,0,6,0,0,0,0,1835
0,0,0,6,0,0,0,0,1836
0,0,0,6,0,0,0,0,1837
0,0,0,6,0,0,0,0,1838
0,0,0,6,0,0,0,0,1839
0,0,0,6,1,0,0,0,1840
0,0,0,6,1,0,0,0,1841
0,0,0,6,1,0,0,0,1842
0,0,0,6,1,0,0,0,1843
0,0,0,7,1,0,0,0,1844
0,0,0,7,1,0,0,0,1845
0,0,0,7,1,0,0,0,1846
0,0,0,7,1,0,0,0,1847
0,0,0,7,1,0,0,0,1848
0,0,0,7,1,0,0,0,1849
0,0,0,7,1,0,0,0,1850
0,0,0,7,2,0,0,0,1851
1,0,0,7,2,0,0,0,1852
1,0,0,7,3,0,0,0,1853
1,0,0,7,3,0,0,0,1854
1,0,0,8,3,1,0,0,1855
1,0,0,8,3,1,0,0,1856
2,0,0,8,4,1,0,0,1857
2,0,0,8,5,3,0,0,1858
2,0,0,8,5,4,0,0,1859
2,0,0,8,6,4,0,0,1860
2,0,0,9,6,4,0,0,1861
2,0,0,9,6,4,0,0,1862
2,0,0,10,6,4,0,0,1863
2,0,0,11,6,5,0,0,1864
2,0,0,11,8,5,0,0,1865
2,0,0,11,16,5,0,0,1866
2,0,0,12,17,5,0,0,1867
2,0,0,12,19,5,0,0,1868
2,0,2,12,21,5,0,0,1869
2,0,2,12,24,5,0,0,1870
2,0,2,12,38,7,0,0,1871
2,0,2,12,55,7,0,0,1872
2,0,2,15,65,8,0,0,1873
2,0,2,20,79,9,0,0,1874
2,0,2,20,92,9,0,0,1875
2,0,2,25,99,10,0,0,1876
2,0,2,26,116,10,0,0,1877
5,0,2,26,124,12,0,0,1878
5,0,2,30,133,12,0,0,1879
6,0,2,32,142,12,0,0,1880
6,0,3,40,157,13,0,0,1881
6,0,4,45,170,14,0,0,1882
6,0,4,45,187,14,0,0,1883
9,0,4,46,201,16,0,0,1884
9,0,6,47,232,17,0,0,1885
15,0,6,48,250,17,0,0,1886
17,0,6,54,270,19,0,0,1887
19,0,7,56,292,20,0,0,1888
19,0,7,58,321,25,0,0,1889
19,0,8,64,373,26,0,0,1890
19,0,8,72,489,27,0,0,1891
20,0,8,75,672,30,0,0,1892
21,0,8,79,1819,34,0,0,1893
21,0,8,87,2058,35,0,0,1894
21,0,9,90,2272,38,0,0,1895
22,0,10,98,2483,39,0,0,1896
23,0,10,101,2675,42,0,0,1897
24,0,10,108,2760,43,0,0,1898
25,0,11,114,2884,43,0,0,1899
26,0,12,128,3003,43,0,0,1900
26,0,15,149,3107,45,0,0,1901
26,0,17,152,3215,45,0,0,1902
26,0,17,154,3343,45,0,0,1903
27,0,19,157,3461,45,0,0,1904
27,0,20,160,3643,45,0,0,1905
29,0,20,172,3748,45,0,0,1906
29,0,22,176,3839,58,0,0,1907
29,0,22,178,3925,62,1,0,1908
31,0,22,179,4045,62,1,0,1909
32,0,23,189,4126,65,1,0,1910
33,0,24,190,4261,65,1,0,1911
34,0,25,195,4354,68,1,0,1912
33,0,26,203,4495,71,1,0,1913
33,0,28,215,4608,71,1,0,1914
33,0,29,222,4698,71,1,0,1915
34,0,29,230,4781,71,1,0,1916
34,0,30,234,4840,71,1,0,1917
34,0,30,240,4867,71,1,0,1918
35,0,30,243,4878,71,1,0,1919
39,0,30,255,4879,71,1,0,1920
39,0,31,263,4903,72,1,0,1921
40,0,31,266,4977,72,1,0,1922
40,0,31,271,5026,72,1,0,1923
42,0,31,278,5079,72,1,0,1924
46,0,32,284,5128,74,1,0,1925
48,0,35,289,5200,75,1,0,1926
48,0,37,294,5235,75,1,0,1927
49,0,41,298,5269,75,1,0,1928
49,0,47,314,5322,75,1,0,1929
49,0,48,321,5405,76,1,0,1930
50,0,49,336,5457,76,3,0,1931
51,0,51,346,5487,77,3,0,1932
52,0,54,367,5511,77,3,0,1933
53,0,58,376,5551,78,3,0,1934
53,0,60,395,5594,78,4,0,1935
52,0,73,591,5680,78,4,0,1936
52,0,80,644,5781,78,4,1,1937
53,0,81,668,5899,78,4,1,1938
41,0,83,691,6013,95,4,1,1939
52,0,83,714,6126,103,4,1,1940
55,0,83,733,6336,109,4,1,1941
55,0,84,741,6479,114,4,1,1942
58,0,88,753,6558,116,4,1,1943
65,0,101,764,6695,123,5,1,1944
100,0,109,810,6892,137,7,2,1945
103,0,113,837,6961,139,6,2,1946
109,0,113,977,7036,135,5,2,1947
110,0,127,1129,7648,145,7,2,1948
111,0,166,1280,7921,155,8,4,1949
142,0,178,1315,8059,156,10,4,1950
165,0,451,1481,8242,162,11,4,1951
181,0,501,1546,8354,159,11,4,1952
184,1,571,1667,8503,161,11,6,1953
190,2,592,1705,8621,161,11,6,1954
192,2,607,1824,8748,170,11,7,1955
198,6,633,1841,8912,175,26,7,1956
260,14,725,1889,9122,363,41,7,1957
257,14,737,1896,9239,362,50,6,1958
269,14,874,2318,9390,370,57,5,1959
277,15,918,2358,9501,372,60,5,1960
296,17,952,2586,10060,375,73,5,1961
303,18,966,2624,10445,440,77,7,1962
310,16,990,2648,10843,442,100,5,1963
308,13,995,2660,10986,454,113,5,1964
320,15,1008,2704,11228,751,118,5,1965
322,15,1032,2738,11384,780,118,5,1966
320,14,1045,2742,11478,818,123,5,1967
321,14,1012,2718,11539,846,124,5,1968
320,14,1017,2766,11749,874,124,5,1969
321,13,1015,2785,11872,885,125,5,1970
321,14,1013,2811,11862,899,125,5,1971
322,14,1010,2829,11962,904,125,5,1972
436,18,1136,2942,12179,902,216,5,1973
464,19,1151,2944,12329,899,266,5,1974
474,19,1158,2966,12367,888,274,5,1975
483,21,1165,2970,12356,822,280,7,1976
486,21,1171,2973,12405,812,312,8,1977
489,23,1169,2975,12440,807,323,8,1978
482,26,1217,2979,12506,807,326,8,1979
489,28,1221,2964,12731,813,328,8,1980
473,28,1229,2960,12788,811,335,8,1981
499,29,1229,2944,12963,806,342,8,1982
506,29,1245,2945,12999,806,344,8,1983
509,29,1255,2937,12987,801,347,8,1984
512,36,1259,2931,13057,809,349,8,1985
511,36,1254,2934,13030,799,352,8,1986
513,37,1257,2927,13056,789,356,8,1987
508,37,1257,2927,13096,779,355,8,1988
506,35,1258,2927,13146,780,360,8,1989
507,36,1251,2925,13268,796,374,8,1990
485,38,1249,2963,13238,809,380,8,1991
487,37,1195,2926,13262,818,382,6,1992
484,36,1192,2969,13288,819,383,6,1993
487,35,1192,2936,13267,818,377,6,1994
496,38,1186,2999,13197,832,382,6,1995
500,38,1184,2976,13253,853,380,6,1996
506,38,1180,2939,13341,881,354,6,1997
524,38,1181,2950,13533,888,323,6,1998
